,ENSEMBL_ID,HGNC
0,ENSG00000102699,PARP4
1,ENSG00000027001,MIPEP
2,ENSG00000102781,KATNAL1
3,ENSG00000236444,UBE2L5
4,ENSG00000133101,CCNA1
5,ENSG00000132952,USPL1
6,ENSG00000183463,URAD
7,ENSG00000189403,HMGB1
8,ENSG00000120669,SOHLH2
9,ENSG00000133114,GPALPP1
10,ENSG00000120694,HSPH1
11,ENSG00000083635,NUFIP1
12,ENSG00000102753,KPNA3
13,ENSG00000165475,CRYL1
14,ENSG00000165556,CDX2
15,ENSG00000152520,PAN3
16,ENSG00000102547,CAB39L
17,ENSG00000102743,SLC25A15
18,ENSG00000120675,DNAJC15
19,ENSG00000132975,GPR12
20,ENSG00000188342,GTF2F2
21,ENSG00000132970,WASF3
22,ENSG00000133110,POSTN
23,ENSG00000151778,SERP2
24,ENSG00000102531,FNDC3A
25,ENSG00000250709,CCDC169-SOHLH2
26,ENSG00000183722,LHFPL6
27,ENSG00000023516,AKAP11
28,ENSG00000139656,SMIM2
29,ENSG00000204899,MZT1
30,ENSG00000171873,ADRA1D
31,ENSG00000120685,PROSER1
32,ENSG00000101282,RSPO4
33,ENSG00000125903,DEFB129
34,ENSG00000101280,ANGPT4
35,ENSG00000089012,SIRPG
36,ENSG00000165837,ERICH6B
37,ENSG00000133116,KL
38,ENSG00000171984,SHLD1
39,ENSG00000125827,TMX4
40,ENSG00000136099,PCDH8
41,ENSG00000083535,PIBF1
42,ENSG00000149346,SLX4IP
43,ENSG00000178591,DEFB125
44,ENSG00000125820,NKX2-2
45,ENSG00000125845,BMP2
46,ENSG00000101327,PDYN
47,ENSG00000136122,BORA
48,ENSG00000125898,FAM110A
49,ENSG00000173404,INSM1
50,ENSG00000185982,DEFB128
51,ENSG00000150361,KLHL1
52,ENSG00000125788,DEFB126
53,ENSG00000132640,BTBD3
54,ENSG00000122034,GTF3A
55,ENSG00000136110,CNMD
56,ENSG00000125816,NKX2-4
57,ENSG00000089063,TMEM230
58,ENSG00000187676,B3GLCT
59,ENSG00000120690,ELF1
60,ENSG00000125851,PCSK2
61,ENSG00000136155,SCEL
62,ENSG00000088876,ZNF343
63,ENSG00000125815,CST8
64,ENSG00000101230,ISM1
65,ENSG00000125848,FLRT3
66,ENSG00000170367,CST5
67,ENSG00000101463,SYNDIG1
68,ENSG00000101323,HAO1
69,ENSG00000102804,TSC22D1
70,ENSG00000088930,XRN2
71,ENSG00000150893,FREM2
72,ENSG00000125772,GPCPD1
73,ENSG00000204918,PRR20B
74,ENSG00000136111,TBC1D4
75,ENSG00000125870,SNRPB2
76,ENSG00000077984,CST7
77,ENSG00000227151,PRR20D
78,ENSG00000136158,SPRY2
79,ENSG00000234278,PRR20E
80,ENSG00000120686,UFM1
81,ENSG00000101474,APMAP
82,ENSG00000125864,BFSP1
83,ENSG00000276644,DACH1
84,ENSG00000149435,GGTLC1
85,ENSG00000102554,KLF5
86,ENSG00000170369,CST2
87,ENSG00000125868,DSTN
88,ENSG00000174015,CBY2
89,ENSG00000125834,STK35
90,ENSG00000088451,TGDS
91,ENSG00000215397,SCRT2
92,ENSG00000198646,NCOA6
93,ENSG00000102755,FLT1
94,ENSG00000198445,CCT8L2
95,ENSG00000088782,DEFB127
96,ENSG00000172296,SPTLC3
97,ENSG00000278558,TMEM191B
98,ENSG00000131069,ACSS2
99,ENSG00000134882,UBAC2
100,ENSG00000133119,RFC3
101,ENSG00000274252,GGTLC3
102,ENSG00000070371,CLTCL1
103,ENSG00000080166,DCT
104,ENSG00000152192,POU4F1
105,ENSG00000125304,TM9SF2
106,ENSG00000139737,SLAIN1
107,ENSG00000275793,RIMBP3
108,ENSG00000215547,DEFB115
109,ENSG00000182957,SPATA13
110,ENSG00000099917,MED15
111,ENSG00000078804,TP53INP2
112,ENSG00000101384,JAG1
113,ENSG00000154646,TMPRSS15
114,ENSG00000089057,SLC23A2
115,ENSG00000188811,NHLRC3
116,ENSG00000254709,IGLL5
117,ENSG00000184792,OSBP2
118,ENSG00000154639,CXADR
119,ENSG00000102837,OLFM4
120,ENSG00000101435,CST9L
121,ENSG00000204919,PRR20A
122,ENSG00000065150,IPO5
123,ENSG00000089123,TASP1
124,ENSG00000170191,NANP
125,ENSG00000156253,RWDD2B
126,ENSG00000132792,CTNNBL1
127,ENSG00000156265,MAP3K7CL
128,ENSG00000139734,DIAPH3
129,ENSG00000180205,WFDC9
130,ENSG00000149639,SOGA1
131,ENSG00000128218,VPREB3
132,ENSG00000180305,WFDC10A
133,ENSG00000185666,SYN3
134,ENSG00000142207,URB1
135,ENSG00000101445,PPP1R16B
136,ENSG00000149633,KIAA1755
137,ENSG00000099985,OSM
138,ENSG00000232263,KRTAP25-1
139,ENSG00000154721,JAM2
140,ENSG00000130684,ZNF337
141,ENSG00000185721,DRG1
142,ENSG00000101452,DHX35
143,ENSG00000156256,USP16
144,ENSG00000176635,HORMAD2
145,ENSG00000100225,FBXO7
146,ENSG00000118946,PCDH17
147,ENSG00000136160,EDNRB
148,ENSG00000124191,TOX2
149,ENSG00000156282,CLDN17
150,ENSG00000166265,CYYR1
151,ENSG00000243927,MRPS6
152,ENSG00000100365,NCF4
153,ENSG00000152484,USP12
154,ENSG00000188694,KRTAP24-1
155,ENSG00000064655,EYA2
156,ENSG00000198743,SLC5A3
157,ENSG00000120688,WBP4
158,ENSG00000159259,CHAF1B
159,ENSG00000180440,SERTM1
160,ENSG00000125285,SOX21
161,ENSG00000139514,SLC7A1
162,ENSG00000187792,ZNF70
163,ENSG00000156304,SCAF4
164,ENSG00000088386,SLC15A1
165,ENSG00000198089,SFI1
166,ENSG00000180083,WFDC11
167,ENSG00000062598,ELMO2
168,ENSG00000156261,CCT8
169,ENSG00000150907,FOXO1
170,ENSG00000136152,COG3
171,ENSG00000136141,LRCH1
172,ENSG00000154654,NCAM2
173,ENSG00000152749,GPR180
174,ENSG00000198862,LTN1
175,ENSG00000102543,CDADC1
176,ENSG00000100346,CACNA1I
177,ENSG00000198959,TGM2
178,ENSG00000125257,ABCC4
179,ENSG00000142192,APP
180,ENSG00000042062,RIPOR3
181,ENSG00000158480,SPATA2
182,ENSG00000101447,FAM83D
183,ENSG00000197496,SLC2A10
184,ENSG00000158445,KCNB1
185,ENSG00000124249,KCNK15
186,ENSG00000149654,CDH22
187,ENSG00000124226,RNF114
188,ENSG00000080189,SLC35C2
189,ENSG00000100354,TNRC6B
190,ENSG00000083520,DIS3
191,ENSG00000100100,PIK3IP1
192,ENSG00000175329,ISX
193,ENSG00000100294,MCAT
194,ENSG00000198768,APCDD1L
195,ENSG00000088298,EDEM2
196,ENSG00000182541,LIMK2
197,ENSG00000156284,CLDN8
198,ENSG00000222018,C21orf140
199,ENSG00000124151,NCOA3
200,ENSG00000133103,COG6
201,ENSG00000100170,SLC5A1
202,ENSG00000142149,HUNK
203,ENSG00000154642,C21orf91
204,ENSG00000176177,ENTHD1
205,ENSG00000128342,LIF
206,ENSG00000159256,MORC3
207,ENSG00000102738,MRPS31
208,ENSG00000077942,FBLN1
209,ENSG00000102802,MEDAG
210,ENSG00000134871,COL4A2
211,ENSG00000159086,PAXBP1
212,ENSG00000124089,MC3R
213,ENSG00000101425,BPI
214,ENSG00000124126,PREX1
215,ENSG00000229665,PRR20C
216,ENSG00000133121,STARD13
217,ENSG00000100307,CBX7
218,ENSG00000205929,C21orf62
219,ENSG00000100344,PNPLA3
220,ENSG00000205726,ITSN1
221,ENSG00000186976,EFCAB6
222,ENSG00000124212,PTGIS
223,ENSG00000184564,SLITRK6
224,ENSG00000184226,PCDH9
225,ENSG00000182621,PLCB1
226,ENSG00000054611,TBC1D22A
227,ENSG00000102580,DNAJC3
228,ENSG00000283199,C13orf46
229,ENSG00000242715,CCDC169
230,ENSG00000205856,C22orf42
231,ENSG00000100426,ZBED4
232,ENSG00000056487,PHF21B
233,ENSG00000132950,ZMYM5
234,ENSG00000182968,SOX1
235,ENSG00000175664,TEX26
236,ENSG00000100373,UPK3A
237,ENSG00000041515,MYO16
238,ENSG00000100316,RPL3
239,ENSG00000054803,CBLN4
240,ENSG00000054793,ATP9A
241,ENSG00000187498,COL4A1
242,ENSG00000125970,RALY
243,ENSG00000075218,GTSE1
244,ENSG00000089101,CFAP61
245,ENSG00000184708,EIF4ENIF1
246,ENSG00000185950,IRS2
247,ENSG00000153498,SPACA7
248,ENSG00000124216,SNAI1
249,ENSG00000134873,CLDN10
250,ENSG00000248405,PRR5-ARHGAP8
251,ENSG00000186009,ATP4B
252,ENSG00000101194,SLC17A9
253,ENSG00000133115,STOML3
254,ENSG00000088448,ANKRD10
255,ENSG00000188064,WNT7B
256,ENSG00000132825,PPP1R3D
257,ENSG00000101132,PFDN4
258,ENSG00000204442,NALF1
259,ENSG00000126231,PROZ
260,ENSG00000100347,SAMM50
261,ENSG00000184497,TMEM255B
262,ENSG00000126226,PCID2
263,ENSG00000101182,PSMA7
264,ENSG00000075234,TTC38
265,ENSG00000124215,CDH26
266,ENSG00000100372,SLC25A17
267,ENSG00000197586,ENTPD6
268,ENSG00000159261,CLDN14
269,ENSG00000100106,TRIOBP
270,ENSG00000157542,KCNJ6
271,ENSG00000241837,ATP5PO
272,ENSG00000175198,PCCA
273,ENSG00000154645,CHODL
274,ENSG00000100304,TTLL12
275,ENSG00000160307,S100B
276,ENSG00000156273,BACH1
277,ENSG00000186654,PRR5
278,ENSG00000126216,TUBGCP3
279,ENSG00000157557,ETS2
280,ENSG00000130701,RBBP8NL
281,ENSG00000101439,CST3
282,ENSG00000100150,DEPDC5
283,ENSG00000101193,GID8
284,ENSG00000142173,COL6A2
285,ENSG00000185974,GRK1
286,ENSG00000124225,PMEPA1
287,ENSG00000139797,RNF113B
288,ENSG00000152193,OBI1
289,ENSG00000101365,IDH3B
290,ENSG00000126218,F10
291,ENSG00000179399,GPC5
292,ENSG00000122042,UBL3
293,ENSG00000157551,KCNJ15
294,ENSG00000126217,MCF2L
295,ENSG00000124164,VAPB
296,ENSG00000182463,TSHZ2
297,ENSG00000132821,VSTM2L
298,ENSG00000205758,CRYZL1
299,ENSG00000125977,EIF2S2
300,ENSG00000203883,SOX18
301,ENSG00000154930,ACSS1
302,ENSG00000156239,N6AMT1
303,ENSG00000101134,DOK5
304,ENSG00000180530,NRIP1
305,ENSG00000158470,B4GALT5
306,ENSG00000020256,ZFP64
307,ENSG00000154736,ADAMTS5
308,ENSG00000185989,RASA3
309,ENSG00000157617,C2CD2
310,ENSG00000152213,ARL11
311,ENSG00000183098,GPC6
312,ENSG00000198276,UCKL1
313,ENSG00000139842,CUL4A
314,ENSG00000166619,BLCAP
315,ENSG00000173276,ZBTB21
316,ENSG00000101115,SALL4
317,ENSG00000053438,NNAT
318,ENSG00000101144,BMP7
319,ENSG00000159228,CBR1
320,ENSG00000159231,CBR3
321,ENSG00000101407,TTI1
322,ENSG00000159216,RUNX1
323,ENSG00000123179,EBPL
324,ENSG00000132631,SCP2D1
325,ENSG00000125533,BHLHE23
326,ENSG00000179242,CDH4
327,ENSG00000102539,MLNR
328,ENSG00000122025,FLT3
329,ENSG00000166979,EVA1C
330,ENSG00000134884,ARGLU1
331,ENSG00000152767,FARP1
332,ENSG00000159079,CFAP298
333,ENSG00000101079,NDRG3
334,ENSG00000265590,CFAP298-TCP10L
335,ENSG00000171858,RPS21
336,ENSG00000242220,TCP10L
337,ENSG00000101152,DNAJC5
338,ENSG00000243627,SMIM34
339,ENSG00000154640,BTG3
340,ENSG00000087510,TFAP2C
341,ENSG00000179813,FAM216B
342,ENSG00000184402,SS18L1
343,ENSG00000184900,SUMO3
344,ENSG00000198033,TUBA3C
345,ENSG00000101361,NOP56
346,ENSG00000154719,MRPL39
347,ENSG00000155307,SAMSN1
348,ENSG00000147853,AK3
349,ENSG00000136156,ITM2B
350,ENSG00000222036,POTEM
351,ENSG00000205670,SMIM11
352,ENSG00000204977,TRIM13
353,ENSG00000101096,NFATC2
354,ENSG00000232948,DEFB130A
355,ENSG00000159263,SIM2
356,ENSG00000120158,RCL1
357,ENSG00000151240,DIP2C
358,ENSG00000253958,CLDN23
359,ENSG00000198553,KCNRG
360,ENSG00000164821,DEFA4
361,ENSG00000173281,PPP1R3B
362,ENSG00000136104,RNASEH2B
363,ENSG00000104213,PDGFRL
364,ENSG00000183145,RIPPLY3
365,ENSG00000160208,RRP1B
366,ENSG00000196139,AKR1C3
367,ENSG00000173273,TNKS
368,ENSG00000106993,CDC37L1
369,ENSG00000139910,NOVA1
370,ENSG00000160209,PDXK
371,ENSG00000120210,INSL6
372,ENSG00000183354,KIAA2026
373,ENSG00000198355,PIM3
374,ENSG00000178462,TUBAL3
375,ENSG00000196074,SYCP2
376,ENSG00000093000,NUP50
377,ENSG00000185736,ADARB2
378,ENSG00000106688,SLC1A1
379,ENSG00000154359,LONRF1
380,ENSG00000134463,ECHDC3
381,ENSG00000205808,PLPP6
382,ENSG00000151413,NUBPL
383,ENSG00000044459,CNTLN
384,ENSG00000205593,DENND6B
385,ENSG00000151465,CDC123
386,ENSG00000160213,CSTB
387,ENSG00000160214,RRP1
388,ENSG00000188133,TMEM215
389,ENSG00000129515,SNX6
390,ENSG00000137040,RANBP6
391,ENSG00000130702,LAMA5
392,ENSG00000147885,IFNA16
393,ENSG00000175806,MSRA
394,ENSG00000176399,DMRTA1
395,ENSG00000130638,ATXN10
396,ENSG00000147874,HAUS6
397,ENSG00000178473,UCN3
398,ENSG00000086475,SEPHS1
399,ENSG00000100376,FAM118A
400,ENSG00000134020,PEBP4
401,ENSG00000160216,AGPAT3
402,ENSG00000122692,SMU1
403,ENSG00000164816,DEFA5
404,ENSG00000067082,KLF6
405,ENSG00000164151,ICE1
406,ENSG00000184647,PRSS55
407,ENSG00000077935,SMC1B
408,ENSG00000087301,TXNDC16
409,ENSG00000275591,XKR5
410,ENSG00000149657,LSM14B
411,ENSG00000165629,ATP5F1C
412,ENSG00000253649,PRSS51
413,ENSG00000275342,PRAG1
414,ENSG00000100422,CERK
415,ENSG00000145536,ADAMTS16
416,ENSG00000087495,PHACTR3
417,ENSG00000164985,PSIP1
418,ENSG00000168546,GFRA2
419,ENSG00000100239,PPP6R2
420,ENSG00000160218,TRAPPC10
421,ENSG00000171421,MRPL36
422,ENSG00000168229,PTGDR
423,ENSG00000065665,SEC61A2
424,ENSG00000124279,FASTKD3
425,ENSG00000189139,FSCB
426,ENSG00000164741,DLC1
427,ENSG00000073712,FERMT2
428,ENSG00000078295,ADCY2
429,ENSG00000171703,TCEA2
430,ENSG00000137074,APTX
431,ENSG00000241945,PWP2
432,ENSG00000151655,ITIH2
433,ENSG00000183654,MARCHF11
434,ENSG00000157540,DYRK1A
435,ENSG00000150510,FAM124A
436,ENSG00000145495,MARCHF6
437,ENSG00000205863,C1QTNF9B
438,ENSG00000189167,ZAR1L
439,ENSG00000129480,DTD2
440,ENSG00000130700,GATA5
441,ENSG00000139597,N4BP2L1
442,ENSG00000196700,ZNF512B
443,ENSG00000100519,PSMC6
444,ENSG00000185053,SGCZ
445,ENSG00000129988,LBP
446,ENSG00000147324,MFHAS1
447,ENSG00000183530,PRR14L
448,ENSG00000196227,FAM217B
449,ENSG00000254093,PINX1
450,ENSG00000165609,NUDT5
451,ENSG00000080839,RBL1
452,ENSG00000188636,RTL6
453,ENSG00000120693,SMAD9
454,ENSG00000133477,FAM83F
455,ENSG00000198791,CNOT7
456,ENSG00000180138,CSNK1A1L
457,ENSG00000281106,TMEM272
458,ENSG00000100362,PVALB
459,ENSG00000133111,RFXAP
460,ENSG00000145491,ROPN1L
461,ENSG00000133107,TRPC4
462,ENSG00000151468,CCDC3
463,ENSG00000131951,LRRC9
464,ENSG00000124209,RAB22A
465,ENSG00000182858,ALG12
466,ENSG00000151657,KIN
467,ENSG00000113430,IRX4
468,ENSG00000124205,EDN3
469,ENSG00000151461,UPF2
470,ENSG00000179388,EGR3
471,ENSG00000100321,SYNGR1
472,ENSG00000180998,GPR137C
473,ENSG00000221818,EBF2
474,ENSG00000141956,PRDM15
475,ENSG00000126773,PCNX4
476,ENSG00000101413,RPRD1B
477,ENSG00000112902,SEMA5A
478,ENSG00000100095,SEZ6L
479,ENSG00000130706,ADRM1
480,ENSG00000104714,ERICH1
481,ENSG00000176244,ACBD7
482,ENSG00000152464,RPP38
483,ENSG00000025293,PHF20
484,ENSG00000155975,VPS37A
485,ENSG00000164989,CCDC171
486,ENSG00000123243,ITIH5
487,ENSG00000145555,MYO10
488,ENSG00000126778,SIX1
489,ENSG00000057593,F7
490,ENSG00000164743,C8orf48
491,ENSG00000154001,PPP2R5E
492,ENSG00000159167,STC1
493,ENSG00000147854,UHRF2
494,ENSG00000104228,TRIM35
495,ENSG00000151474,FRMD4A
496,ENSG00000122035,RASL11A
497,ENSG00000080618,CPB2
498,ENSG00000198042,MAK16
499,ENSG00000131067,GGT7
500,ENSG00000136167,LCP1
501,ENSG00000175445,LPL
502,ENSG00000260314,MRC1
503,ENSG00000107295,SH3GL2
504,ENSG00000147421,HMBOX1
505,ENSG00000214042,IFNA7
506,ENSG00000130590,SAMD10
507,ENSG00000215475,SIAH3
508,ENSG00000153714,LURAP1L
509,ENSG00000273976,GOLGA6L1
510,ENSG00000160199,PKNOX1
511,ENSG00000165997,ARL5B
512,ENSG00000198252,STYX
513,ENSG00000102452,NALCN
514,ENSG00000100360,IFT27
515,ENSG00000137075,RNF38
516,ENSG00000107611,CUBN
517,ENSG00000126790,L3HYPDH
518,ENSG00000133398,MED10
519,ENSG00000124232,RBPJL
520,ENSG00000156006,NAT2
521,ENSG00000179008,C14orf39
522,ENSG00000164237,CMBL
523,ENSG00000160200,CBS
524,ENSG00000100311,PDGFB
525,ENSG00000171056,SOX7
526,ENSG00000124145,SDC4
527,ENSG00000284283,TAF11L4
528,ENSG00000036565,SLC18A1
529,ENSG00000204070,SYS1
530,ENSG00000124275,MTRR
531,ENSG00000184302,SIX6
532,ENSG00000107614,TRDMT1
533,ENSG00000186732,MPPED1
534,ENSG00000277322,GOLGA6L6
535,ENSG00000254806,SYS1-DBNDD2
536,ENSG00000100625,SIX4
537,ENSG00000186297,GABRA5
538,ENSG00000124251,TP53TG5
539,ENSG00000086102,NFX1
540,ENSG00000159873,CCDC117
541,ENSG00000124222,STX16
542,ENSG00000175820,CCDC168
543,ENSG00000151287,TEX30
544,ENSG00000112699,GMDS
545,ENSG00000100614,PPM1A
546,ENSG00000134901,POGLUT2
547,ENSG00000138964,PARVG
548,ENSG00000151838,CCDC175
549,ENSG00000270181,BIVM-ERCC5
550,ENSG00000100652,SLC10A1
551,ENSG00000112685,EXOC2
552,ENSG00000165985,C1QL3
553,ENSG00000134897,BIVM
554,ENSG00000215217,C5orf49
555,ENSG00000148481,MINDY3
556,ENSG00000100612,DHRS7
557,ENSG00000113569,NUP155
558,ENSG00000080503,SMARCA2
559,ENSG00000183087,GAS6
560,ENSG00000165309,ARMC3
561,ENSG00000172728,FUT10
562,ENSG00000100290,BIK
563,ENSG00000100731,PCNX1
564,ENSG00000145945,FAM50B
565,ENSG00000100271,TTLL1
566,ENSG00000160202,CRYAA
567,ENSG00000258724,PINX1
568,ENSG00000124802,EEF1E1
569,ENSG00000156687,UNC5D
570,ENSG00000160201,U2AF1
571,ENSG00000136159,NUDT15
572,ENSG00000254995,STX16-NPEPL1
573,ENSG00000136146,MED4
574,ENSG00000215440,NPEPL1
575,ENSG00000188428,BLOC1S5
576,ENSG00000139687,RB1
577,ENSG00000128408,RIBC2
578,ENSG00000102683,SGCG
579,ENSG00000241058,NSUN6
580,ENSG00000101158,NELFCD
581,ENSG00000130943,PKDREJ
582,ENSG00000139746,RBM26
583,ENSG00000100124,ANKRD54
584,ENSG00000038945,MSR1
585,ENSG00000185917,SETD4
586,ENSG00000150867,PIP4K2A
587,ENSG00000179600,GPHB5
588,ENSG00000020426,MNAT1
589,ENSG00000183580,FBXL7
590,ENSG00000133083,DCLK1
591,ENSG00000205269,TMEM170B
592,ENSG00000164236,ANKRD33B
593,ENSG00000179133,C10orf67
594,ENSG00000267909,CCDC177
595,ENSG00000100300,TSPO
596,ENSG00000152582,SPEF2
597,ENSG00000198610,AKR1C4
598,ENSG00000179476,C14orf28
599,ENSG00000125266,EFNB2
600,ENSG00000265818,EEF1E1-BLOC1S5
601,ENSG00000092964,DPYSL2
602,ENSG00000102780,DGKH
603,ENSG00000185133,INPP5J
604,ENSG00000119599,DCAF4
605,ENSG00000165097,KDM1B
606,ENSG00000101162,TUBB1
607,ENSG00000204740,MALRD1
608,ENSG00000124172,ATP5F1E
609,ENSG00000158270,COLEC12
610,ENSG00000173638,SLC19A1
611,ENSG00000101166,PRELID3B
612,ENSG00000146109,ABT1
613,ENSG00000148488,ST8SIA6
614,ENSG00000259040,BLOC1S5-TXNDC5
615,ENSG00000255112,CHMP1B
616,ENSG00000125965,GDF5
617,ENSG00000153162,BMP6
618,ENSG00000141401,IMPA2
619,ENSG00000136750,GAD2
620,ENSG00000126001,CEP250
621,ENSG00000182871,COL18A1
622,ENSG00000239264,TXNDC5
623,ENSG00000164825,DEFB1
624,ENSG00000050130,JKAMP
625,ENSG00000164327,RICTOR
626,ENSG00000181315,ZNF322
627,ENSG00000147454,SLC25A37
628,ENSG00000170579,DLGAP1
629,ENSG00000260286,ARMH2
630,ENSG00000134874,DZIP1
631,ENSG00000120875,DUSP4
632,ENSG00000112273,HDGFL1
633,ENSG00000164379,FOXQ1
