,ENSEMBL_ID
0,ENSG00000001630
1,ENSG00000003249
2,ENSG00000005810
3,ENSG00000006016
4,ENSG00000010327
5,ENSG00000023902
6,ENSG00000038945
7,ENSG00000051128
8,ENSG00000054690
9,ENSG00000057704
10,ENSG00000065833
11,ENSG00000069702
12,ENSG00000074657
13,ENSG00000086289
14,ENSG00000090006
15,ENSG00000090382
16,ENSG00000091490
17,ENSG00000093072
18,ENSG00000099814
19,ENSG00000099998
20,ENSG00000100031
21,ENSG00000102755
22,ENSG00000103196
23,ENSG00000104835
24,ENSG00000106305
25,ENSG00000106538
26,ENSG00000107317
27,ENSG00000107562
28,ENSG00000107738
29,ENSG00000107742
30,ENSG00000108352
31,ENSG00000108515
32,ENSG00000109099
33,ENSG00000109610
34,ENSG00000109846
35,ENSG00000110811
36,ENSG00000111653
37,ENSG00000112033
38,ENSG00000112893
39,ENSG00000114026
40,ENSG00000114115
41,ENSG00000114405
42,ENSG00000115165
43,ENSG00000115594
44,ENSG00000115884
45,ENSG00000116661
46,ENSG00000118197
47,ENSG00000118515
48,ENSG00000118785
49,ENSG00000119535
50,ENSG00000119632
51,ENSG00000122417
52,ENSG00000122547
53,ENSG00000122884
54,ENSG00000123329
55,ENSG00000124802
56,ENSG00000125968
57,ENSG00000126803
58,ENSG00000127415
59,ENSG00000127528
60,ENSG00000129226
61,ENSG00000130755
62,ENSG00000130921
63,ENSG00000131370
64,ENSG00000131773
65,ENSG00000133027
66,ENSG00000133048
67,ENSG00000133639
68,ENSG00000135069
69,ENSG00000136960
70,ENSG00000137171
71,ENSG00000137713
72,ENSG00000138002
73,ENSG00000139211
74,ENSG00000140332
75,ENSG00000140678
76,ENSG00000142185
77,ENSG00000143226
78,ENSG00000143367
79,ENSG00000143578
80,ENSG00000147408
81,ENSG00000148154
82,ENSG00000148737
83,ENSG00000150456
84,ENSG00000151726
85,ENSG00000152661
86,ENSG00000153487
87,ENSG00000154096
88,ENSG00000154359
89,ENSG00000154556
90,ENSG00000156804
91,ENSG00000158457
92,ENSG00000160193
93,ENSG00000160703
94,ENSG00000161249
95,ENSG00000161281
96,ENSG00000162433
97,ENSG00000162496
98,ENSG00000162551
99,ENSG00000163050
100,ENSG00000163171
101,ENSG00000163220
102,ENSG00000163430
103,ENSG00000163975
104,ENSG00000164125
105,ENSG00000164308
106,ENSG00000164403
107,ENSG00000165457
108,ENSG00000165512
109,ENSG00000166278
110,ENSG00000166949
111,ENSG00000167107
112,ENSG00000169220
113,ENSG00000169228
114,ENSG00000169442
115,ENSG00000169715
116,ENSG00000169991
117,ENSG00000170873
118,ENSG00000171425
119,ENSG00000171621
120,ENSG00000172456
121,ENSG00000174080
122,ENSG00000175265
123,ENSG00000175538
124,ENSG00000175600
125,ENSG00000176476
126,ENSG00000176485
127,ENSG00000176788
128,ENSG00000179144
129,ENSG00000182636
130,ENSG00000183963
131,ENSG00000184113
132,ENSG00000185633
133,ENSG00000186340
134,ENSG00000187498
135,ENSG00000188542
136,ENSG00000196187
137,ENSG00000196562
138,ENSG00000196967
139,ENSG00000197238
140,ENSG00000197724
141,ENSG00000198417
142,ENSG00000198624
143,ENSG00000204103
144,ENSG00000205560
145,ENSG00000213347
146,ENSG00000213402
147,ENSG00000213886
148,ENSG00000234857
149,ENSG00000235272
150,ENSG00000243649
151,ENSG00000243943
152,ENSG00000244115
153,ENSG00000244731
154,ENSG00000244734
155,ENSG00000253368
156,ENSG00000256060
157,ENSG00000264343
