,ENSEMBL_ID
0,ENSG00000000419
1,ENSG00000000457
2,ENSG00000000938
3,ENSG00000000971
4,ENSG00000001036
5,ENSG00000001084
6,ENSG00000001167
7,ENSG00000001460
8,ENSG00000001461
9,ENSG00000001617
10,ENSG00000001629
11,ENSG00000001630
12,ENSG00000001631
13,ENSG00000002016
14,ENSG00000002330
15,ENSG00000002549
16,ENSG00000002822
17,ENSG00000002834
18,ENSG00000002919
19,ENSG00000002933
20,ENSG00000003056
21,ENSG00000003147
22,ENSG00000003249
23,ENSG00000003393
24,ENSG00000003402
25,ENSG00000003436
26,ENSG00000003509
27,ENSG00000003756
28,ENSG00000004059
29,ENSG00000004139
30,ENSG00000004142
31,ENSG00000004399
32,ENSG00000004455
33,ENSG00000004478
34,ENSG00000004487
35,ENSG00000004534
36,ENSG00000004700
37,ENSG00000004766
38,ENSG00000004776
39,ENSG00000004777
40,ENSG00000004779
41,ENSG00000004864
42,ENSG00000004866
43,ENSG00000004897
44,ENSG00000004975
45,ENSG00000005007
46,ENSG00000005020
47,ENSG00000005059
48,ENSG00000005075
49,ENSG00000005100
50,ENSG00000005156
51,ENSG00000005175
52,ENSG00000005194
53,ENSG00000005206
54,ENSG00000005238
55,ENSG00000005243
56,ENSG00000005339
57,ENSG00000005379
58,ENSG00000005436
59,ENSG00000005448
60,ENSG00000005469
61,ENSG00000005483
62,ENSG00000005486
63,ENSG00000005700
64,ENSG00000005801
65,ENSG00000005810
66,ENSG00000005812
67,ENSG00000005844
68,ENSG00000005882
69,ENSG00000005884
70,ENSG00000006007
71,ENSG00000006015
72,ENSG00000006016
73,ENSG00000006042
74,ENSG00000006062
75,ENSG00000006118
76,ENSG00000006125
77,ENSG00000006194
78,ENSG00000006210
79,ENSG00000006282
80,ENSG00000006327
81,ENSG00000006451
82,ENSG00000006459
83,ENSG00000006468
84,ENSG00000006530
85,ENSG00000006534
86,ENSG00000006576
87,ENSG00000006607
88,ENSG00000006625
89,ENSG00000006652
90,ENSG00000006695
91,ENSG00000006704
92,ENSG00000006712
93,ENSG00000006715
94,ENSG00000006744
95,ENSG00000006831
96,ENSG00000007047
97,ENSG00000007080
98,ENSG00000007168
99,ENSG00000007202
100,ENSG00000007255
101,ENSG00000007341
102,ENSG00000007376
103,ENSG00000007384
104,ENSG00000007392
105,ENSG00000007520
106,ENSG00000007541
107,ENSG00000007545
108,ENSG00000007866
109,ENSG00000007923
110,ENSG00000007944
111,ENSG00000008018
112,ENSG00000008083
113,ENSG00000008128
114,ENSG00000008130
115,ENSG00000008256
116,ENSG00000008282
117,ENSG00000008283
118,ENSG00000008294
119,ENSG00000008324
120,ENSG00000008382
121,ENSG00000008394
122,ENSG00000008405
123,ENSG00000008441
124,ENSG00000008513
125,ENSG00000008517
126,ENSG00000008710
127,ENSG00000008838
128,ENSG00000008853
129,ENSG00000008869
130,ENSG00000008952
131,ENSG00000008988
132,ENSG00000009307
133,ENSG00000009335
134,ENSG00000009413
135,ENSG00000009780
136,ENSG00000009790
137,ENSG00000009830
138,ENSG00000009844
139,ENSG00000009954
140,ENSG00000010017
141,ENSG00000010072
142,ENSG00000010165
143,ENSG00000010219
144,ENSG00000010244
145,ENSG00000010256
146,ENSG00000010270
147,ENSG00000010278
148,ENSG00000010292
149,ENSG00000010295
150,ENSG00000010318
151,ENSG00000010322
152,ENSG00000010327
153,ENSG00000010361
154,ENSG00000010539
155,ENSG00000010610
156,ENSG00000010626
157,ENSG00000010704
158,ENSG00000010803
159,ENSG00000010810
160,ENSG00000010818
161,ENSG00000011007
162,ENSG00000011009
163,ENSG00000011021
164,ENSG00000011028
165,ENSG00000011052
166,ENSG00000011105
167,ENSG00000011114
168,ENSG00000011132
169,ENSG00000011143
170,ENSG00000011198
171,ENSG00000011243
172,ENSG00000011258
173,ENSG00000011260
174,ENSG00000011275
175,ENSG00000011295
176,ENSG00000011304
177,ENSG00000011376
178,ENSG00000011405
179,ENSG00000011422
180,ENSG00000011451
181,ENSG00000011454
182,ENSG00000011465
183,ENSG00000011478
184,ENSG00000011485
185,ENSG00000011523
186,ENSG00000011566
187,ENSG00000011600
188,ENSG00000012048
189,ENSG00000012061
190,ENSG00000012171
191,ENSG00000012232
192,ENSG00000012660
193,ENSG00000012779
194,ENSG00000012822
195,ENSG00000012963
196,ENSG00000012983
197,ENSG00000013275
198,ENSG00000013288
199,ENSG00000013306
200,ENSG00000013364
201,ENSG00000013374
202,ENSG00000013375
203,ENSG00000013441
204,ENSG00000013503
205,ENSG00000013523
206,ENSG00000013561
207,ENSG00000013573
208,ENSG00000013583
209,ENSG00000013810
210,ENSG00000014123
211,ENSG00000014138
212,ENSG00000014164
213,ENSG00000014216
214,ENSG00000014641
215,ENSG00000014824
216,ENSG00000014914
217,ENSG00000014919
218,ENSG00000015133
219,ENSG00000015153
220,ENSG00000015171
221,ENSG00000015475
222,ENSG00000015479
223,ENSG00000015532
224,ENSG00000015568
225,ENSG00000015676
226,ENSG00000016864
227,ENSG00000017260
228,ENSG00000017797
229,ENSG00000018189
230,ENSG00000018408
231,ENSG00000018510
232,ENSG00000018699
233,ENSG00000019144
234,ENSG00000019582
235,ENSG00000019995
236,ENSG00000020129
237,ENSG00000020181
238,ENSG00000020256
239,ENSG00000020426
240,ENSG00000020577
241,ENSG00000020922
242,ENSG00000021355
243,ENSG00000021574
244,ENSG00000021762
245,ENSG00000021776
246,ENSG00000022277
247,ENSG00000022840
248,ENSG00000022976
249,ENSG00000023041
250,ENSG00000023191
251,ENSG00000023228
252,ENSG00000023287
253,ENSG00000023318
254,ENSG00000023330
255,ENSG00000023516
256,ENSG00000023572
257,ENSG00000023608
258,ENSG00000023697
259,ENSG00000023734
260,ENSG00000023892
261,ENSG00000023902
262,ENSG00000023909
263,ENSG00000024048
264,ENSG00000024422
265,ENSG00000024862
266,ENSG00000025039
267,ENSG00000025156
268,ENSG00000025293
269,ENSG00000025434
270,ENSG00000025708
271,ENSG00000025770
272,ENSG00000025772
273,ENSG00000025796
274,ENSG00000025800
275,ENSG00000026025
276,ENSG00000026103
277,ENSG00000026297
278,ENSG00000026508
279,ENSG00000026950
280,ENSG00000027001
281,ENSG00000027075
282,ENSG00000027697
283,ENSG00000027847
284,ENSG00000028116
285,ENSG00000028137
