,ENSEMBL_ID
0,ENSG00000000003
1,ENSG00000000419
2,ENSG00000000457
3,ENSG00000000938
4,ENSG00000000971
5,ENSG00000001084
6,ENSG00000001460
7,ENSG00000001461
8,ENSG00000001497
9,ENSG00000001617
10,ENSG00000001629
11,ENSG00000001631
12,ENSG00000002016
13,ENSG00000002330
14,ENSG00000002549
15,ENSG00000002586
16,ENSG00000002822
17,ENSG00000002834
18,ENSG00000002919
19,ENSG00000002933
20,ENSG00000003056
21,ENSG00000003147
22,ENSG00000003402
23,ENSG00000003436
24,ENSG00000003509
25,ENSG00000003756
26,ENSG00000004059
27,ENSG00000004139
28,ENSG00000004142
29,ENSG00000004399
30,ENSG00000004455
31,ENSG00000004478
32,ENSG00000004487
33,ENSG00000004534
34,ENSG00000004700
35,ENSG00000004766
36,ENSG00000004776
37,ENSG00000004777
38,ENSG00000004779
39,ENSG00000004864
40,ENSG00000004866
41,ENSG00000004897
42,ENSG00000004961
43,ENSG00000004975
44,ENSG00000005007
45,ENSG00000005020
46,ENSG00000005022
47,ENSG00000005059
48,ENSG00000005075
49,ENSG00000005100
50,ENSG00000005156
51,ENSG00000005175
52,ENSG00000005194
53,ENSG00000005206
54,ENSG00000005238
55,ENSG00000005243
56,ENSG00000005302
57,ENSG00000005339
58,ENSG00000005379
59,ENSG00000005436
60,ENSG00000005448
61,ENSG00000005469
62,ENSG00000005483
63,ENSG00000005486
64,ENSG00000005700
65,ENSG00000005801
66,ENSG00000005810
67,ENSG00000005812
68,ENSG00000005844
69,ENSG00000005882
70,ENSG00000005884
71,ENSG00000005889
72,ENSG00000005893
73,ENSG00000006007
74,ENSG00000006015
75,ENSG00000006016
76,ENSG00000006042
77,ENSG00000006062
78,ENSG00000006118
79,ENSG00000006125
80,ENSG00000006194
81,ENSG00000006210
82,ENSG00000006282
83,ENSG00000006327
84,ENSG00000006451
85,ENSG00000006459
86,ENSG00000006468
87,ENSG00000006530
88,ENSG00000006607
89,ENSG00000006625
90,ENSG00000006634
91,ENSG00000006652
92,ENSG00000006695
93,ENSG00000006704
94,ENSG00000006712
95,ENSG00000006715
96,ENSG00000006744
97,ENSG00000006756
98,ENSG00000006757
99,ENSG00000006831
100,ENSG00000007047
101,ENSG00000007080
102,ENSG00000007168
103,ENSG00000007202
104,ENSG00000007255
105,ENSG00000007341
106,ENSG00000007376
107,ENSG00000007384
108,ENSG00000007392
109,ENSG00000007520
110,ENSG00000007541
111,ENSG00000007545
112,ENSG00000007923
113,ENSG00000007944
114,ENSG00000008018
115,ENSG00000008083
116,ENSG00000008128
117,ENSG00000008130
118,ENSG00000008256
119,ENSG00000008282
120,ENSG00000008283
121,ENSG00000008294
122,ENSG00000008324
123,ENSG00000008382
124,ENSG00000008394
125,ENSG00000008405
126,ENSG00000008441
127,ENSG00000008513
128,ENSG00000008517
129,ENSG00000008710
130,ENSG00000008838
131,ENSG00000008853
132,ENSG00000008869
133,ENSG00000008952
134,ENSG00000008988
135,ENSG00000009307
136,ENSG00000009335
137,ENSG00000009413
138,ENSG00000009830
139,ENSG00000009844
140,ENSG00000009954
141,ENSG00000010017
142,ENSG00000010165
143,ENSG00000010219
144,ENSG00000010244
145,ENSG00000010256
146,ENSG00000010270
147,ENSG00000010278
148,ENSG00000010292
149,ENSG00000010295
150,ENSG00000010318
151,ENSG00000010322
152,ENSG00000010327
153,ENSG00000010361
154,ENSG00000010404
155,ENSG00000010539
156,ENSG00000010610
157,ENSG00000010626
158,ENSG00000010671
159,ENSG00000010803
160,ENSG00000010810
161,ENSG00000010818
162,ENSG00000011007
163,ENSG00000011009
164,ENSG00000011052
165,ENSG00000011105
166,ENSG00000011143
167,ENSG00000011198
168,ENSG00000011243
169,ENSG00000011258
170,ENSG00000011260
171,ENSG00000011275
172,ENSG00000011295
173,ENSG00000011304
174,ENSG00000011376
175,ENSG00000011422
176,ENSG00000011451
177,ENSG00000011454
178,ENSG00000011465
179,ENSG00000011478
180,ENSG00000011485
181,ENSG00000011523
182,ENSG00000011566
183,ENSG00000011600
184,ENSG00000011638
185,ENSG00000012048
186,ENSG00000012061
187,ENSG00000012171
188,ENSG00000012174
189,ENSG00000012232
190,ENSG00000012660
191,ENSG00000012822
192,ENSG00000012983
193,ENSG00000013275
194,ENSG00000013288
195,ENSG00000013306
196,ENSG00000013364
197,ENSG00000013374
198,ENSG00000013375
199,ENSG00000013441
200,ENSG00000013503
201,ENSG00000013523
202,ENSG00000013561
203,ENSG00000013563
204,ENSG00000013573
205,ENSG00000013583
206,ENSG00000013810
207,ENSG00000014123
208,ENSG00000014138
209,ENSG00000014164
210,ENSG00000014216
211,ENSG00000014641
212,ENSG00000014824
213,ENSG00000014914
214,ENSG00000014919
215,ENSG00000015133
216,ENSG00000015153
217,ENSG00000015171
218,ENSG00000015285
219,ENSG00000015475
220,ENSG00000015479
221,ENSG00000015532
222,ENSG00000015568
223,ENSG00000015676
224,ENSG00000016864
225,ENSG00000017260
226,ENSG00000017797
227,ENSG00000018189
228,ENSG00000018408
229,ENSG00000018510
230,ENSG00000018610
231,ENSG00000018699
232,ENSG00000019144
233,ENSG00000019582
234,ENSG00000019995
235,ENSG00000020129
236,ENSG00000020256
237,ENSG00000020426
238,ENSG00000020577
239,ENSG00000020922
240,ENSG00000021355
241,ENSG00000021574
242,ENSG00000021762
243,ENSG00000021776
244,ENSG00000022267
245,ENSG00000022277
246,ENSG00000022840
247,ENSG00000022976
248,ENSG00000023041
249,ENSG00000023191
250,ENSG00000023228
251,ENSG00000023287
252,ENSG00000023318
253,ENSG00000023330
254,ENSG00000023445
255,ENSG00000023516
256,ENSG00000023572
257,ENSG00000023608
258,ENSG00000023697
259,ENSG00000023734
260,ENSG00000023892
261,ENSG00000023902
262,ENSG00000023909
